,phys,engl,math,chin,chem,total,school
0,68.1,121.1,135.6,116.0,57.5,485.0,Other
1,72.6,110.4,102.9,113.4,53.5,438.1,Other
2,83.6,129.1,124.4,124.4,57.0,510.7,Other
3,71.9,84.5,90.9,108.1,52.9,397.4,Other
4,82.2,130.3,134.0,130.1,53.6,529.0,Other
5,74.8,92.3,113.2,116.4,59.2,450.6,Other
6,74.7,121.7,124.1,124.5,50.8,489.7,Other
7,76.8,83.5,136.0,124.9,57.1,463.8,Other
8,52.6,73.7,70.6,108.4,44.8,337.1,Other
9,53.1,64.2,74.1,121.4,51.6,360.0,Other
10,72.1,51.2,101.8,111.0,57.1,391.5,Other
11,21.6,21.0,22.3,59.5,18.5,136.7,Other
12,79.9,111.1,112.8,107.1,56.8,462.4,Other
13,78.5,102.6,123.7,121.6,55.7,481.0,Other
14,85.8,124.5,138.8,124.8,56.6,527.7,Other
15,68.3,81.2,118.7,105.3,48.3,412.9,Other
16,72.5,115.6,126.3,126.4,54.5,489.2,Other
17,78.8,135.8,134.0,131.1,52.5,518.7,Other
18,75.1,80.8,105.9,107.4,56.8,415.2,Other
19,86.2,140.3,137.4,130.5,57.4,548.1,Other
20,74.3,107.7,114.5,114.9,52.4,457.5,Other
21,84.7,137.3,134.3,118.2,59.9,528.4,Other
22,72.3,98.3,74.4,111.9,47.6,394.9,Other
23,72.9,113.7,127.6,121.7,55.3,480.1,Other
24,50.1,73.0,38.2,96.3,45.0,289.7,Other
25,75.5,85.4,117.3,99.7,53.0,428.7,Other
26,62.1,52.4,25.9,100.1,37.1,272.8,Other
27,84.4,119.2,140.0,125.3,60.5,526.0,Other
28,68.0,100.4,55.1,94.2,43.8,353.7,Other
29,71.4,103.3,125.8,125.7,53.2,469.0,Other
30,74.1,122.8,134.0,114.9,55.0,489.5,Other
31,66.2,105.0,105.8,117.1,50.5,447.2,Other
32,69.6,127.2,138.1,117.0,53.6,502.2,Other
33,84.6,140.7,142.8,136.0,62.5,559.7,Other
34,70.5,74.6,119.3,106.7,52.1,422.1,Other
35,81.8,126.0,128.4,119.2,56.6,508.1,Other
36,78.0,126.7,137.0,111.3,57.5,502.4,Other
37,79.9,125.7,115.4,125.4,59.5,494.6,Other
38,74.2,129.0,124.6,123.8,59.3,510.0,Other
39,80.9,116.9,142.4,120.9,53.0,514.6,Other
40,81.7,125.5,128.8,117.6,55.2,507.3,Other
41,84.6,132.6,138.8,116.0,63.2,527.9,Other
42,80.7,117.3,101.3,109.0,52.4,454.3,Other
43,70.1,110.8,100.6,127.4,53.5,457.4,Other
44,81.1,134.1,126.6,128.7,50.1,515.8,Other
45,57.3,85.2,71.7,114.9,41.0,354.3,Other
46,69.4,103.9,113.3,108.4,49.3,440.9,Other
47,73.9,99.3,121.6,119.8,51.8,460.5,Other
48,61.7,92.6,56.2,119.5,41.6,368.9,Other
49,83.9,108.0,132.7,130.1,58.4,501.0,Other
50,5.5,11.4,12.4,3.8,10.6,40.3,Other
51,66.6,92.1,108.4,116.0,48.5,419.3,Other
52,79.8,113.5,134.4,116.2,57.9,489.8,Other
53,73.7,96.4,88.0,110.7,47.5,410.3,Other
54,76.6,138.5,129.0,117.9,54.7,512.4,Other
55,70.0,69.8,79.8,115.3,51.9,382.6,Other
56,81.5,125.4,123.9,122.5,59.3,511.4,Other
57,70.4,88.3,65.7,114.9,46.6,382.0,Other
58,83.2,122.8,110.7,130.0,60.0,503.6,Other
59,76.2,126.4,136.5,119.1,54.0,506.7,Other
60,38.2,24.6,24.4,49.1,38.5,160.0,Other
61,84.6,125.4,118.7,124.0,59.8,503.3,Other
62,71.2,138.6,122.9,119.4,55.2,501.3,Other
63,11.8,5.7,11.6,17.7,7.3,47.9,Other
64,76.5,99.2,120.3,112.9,60.3,457.40000000000003,Other
65,57.5,26.1,47.2,108.9,26.6,255.4,Other
66,79.4,128.2,126.0,128.7,59.0,511.2,Other
67,67.9,106.3,77.7,120.6,52.1,411.8,Other
68,72.9,130.3,128.6,129.2,49.0,496.2,Other
69,82.9,122.3,119.1,122.1,59.1,499.2,Other
70,81.5,125.3,118.2,125.2,56.1,492.0,Other
71,77.6,135.7,125.2,124.7,56.6,518.9,Other
72,81.3,130.2,136.0,120.0,56.4,515.8,Other
73,86.0,131.6,121.5,123.7,56.3,516.5,Other
74,85.1,135.8,139.7,128.8,59.3,538.8,Other
75,74.4,106.8,108.8,115.8,52.7,446.7,Other
76,71.3,115.6,125.3,115.3,51.5,479.8,Other
77,65.8,39.2,48.3,106.1,46.6,299.2,Other
78,71.2,127.4,120.2,112.2,51.9,480.2,Other
79,62.1,65.8,26.4,103.7,44.8,303.2,Other
80,73.4,105.4,125.1,121.1,53.1,471.6,Other
81,65.3,106.6,113.9,107.3,51.3,436.9,Other
82,79.0,120.7,106.2,130.5,59.8,488.4,Other
83,78.0,74.5,101.7,120.4,49.4,417.0,Other
84,55.1,65.7,55.4,77.7,35.5,280.4,Other
85,69.5,99.0,102.4,121.6,51.2,438.3,Other
86,74.8,106.3,114.1,116.9,53.8,460.3,Other
87,70.0,109.5,83.5,112.1,42.0,414.4,Other
88,80.3,139.2,132.5,125.3,58.0,536.1,Other
89,66.4,111.3,105.1,107.0,58.2,437.6,Other
90,83.1,142.8,131.6,125.3,57.3,533.4,Other
91,76.9,140.5,124.9,126.1,54.5,518.8,Other
92,85.6,134.0,137.9,123.7,61.0,526.8,Other
93,78.1,133.20000000000002,133.7,125.2,53.9,519.3,Other
94,81.1,137.4,139.7,131.8,56.4,538.9,Other
95,47.8,62.8,35.3,104.9,34.300000000000004,276.8,Other
96,73.6,72.0,67.5,127.2,40.5,375.5,Other
97,81.4,122.2,128.5,139.9,54.9,521.9,Other
98,55.9,62.9,36.8,100.3,32.1,282.8,Other
99,83.9,131.8,141.9,128.8,58.9,544.2,Other
100,75.3,111.8,119.0,120.1,48.9,471.2,Other
101,62.5,132.6,77.8,115.6,50.8,435.4,Other
102,74.6,121.5,96.1,119.8,45.5,451.0,Other
103,76.6,48.7,96.4,108.7,54.9,379.6,Other
104,70.3,123.1,113.4,115.5,51.6,460.9,Other
105,80.1,143.3,132.7,125.1,52.5,517.6,Other
106,63.9,67.8,97.8,92.2,43.4,358.3,Other
107,89.8,142.7,142.2,127.0,56.2,540.5,Other
108,56.6,89.6,20.5,115.8,38.6,310.40000000000003,Other
109,74.9,102.0,99.2,114.6,53.8,433.6,Other
110,79.5,113.7,97.8,101.3,45.3,429.90000000000003,Other
111,67.7,114.0,93.9,118.7,42.5,424.8,Other
112,84.6,129.6,126.3,130.3,58.1,524.6,Other
113,81.0,119.5,128.9,124.4,57.4,510.1,Other
114,77.8,109.8,124.4,120.6,56.8,470.1,Other
115,76.9,131.3,127.0,124.6,56.5,504.0,Other
116,76.6,127.5,122.6,117.9,54.1,493.3,Other
117,74.8,104.1,114.7,112.8,49.0,451.3,Other
118,84.1,125.2,125.9,123.0,57.0,506.3,Other
119,61.7,67.0,22.7,112.1,46.3,305.1,Other
120,79.9,92.9,113.1,109.0,53.1,446.9,Other
121,91.6,133.6,144.0,133.4,58.0,561.1,Other
122,78.9,70.4,86.6,106.8,49.6,389.2,Other
123,70.7,52.4,86.8,110.4,48.0,365.9,Other
124,50.1,84.4,97.0,116.1,25.8,372.9,Other
125,83.8,141.3,128.1,115.8,54.1,518.3,Other
126,78.5,107.0,107.8,114.5,51.3,451.6,Other
127,72.2,116.3,112.4,124.3,46.7,465.8,Other
128,76.5,114.9,110.9,118.5,59.4,469.8,Other
129,77.1,114.3,129.5,124.1,50.2,491.7,Other
130,64.3,100.8,45.9,112.3,37.6,355.3,Other
131,74.9,86.1,127.9,115.9,54.1,451.4,Other
132,80.2,116.8,116.4,122.0,53.2,474.7,Other
133,83.4,128.9,127.8,129.8,54.6,521.8,Other
134,81.3,102.0,110.8,127.5,56.3,473.7,Other
135,64.3,91.2,67.8,109.7,45.2,374.9,Other
136,76.0,88.5,122.8,116.7,53.3,452.2,Other
137,88.6,133.4,149.3,129.1,57.6,551.4,Other
138,80.5,125.2,134.5,134.4,56.1,532.4,Other
139,77.2,125.9,120.2,106.5,55.3,478.2,Other
140,53.0,84.1,32.6,100.1,29.3,283.2,Other
141,85.2,129.3,123.9,125.2,60.8,517.4,Other
142,36.4,48.0,13.9,91.8,19.1,200.6,Other
143,89.5,133.8,139.3,116.7,58.0,531.6,Other
144,55.7,70.2,35.6,95.7,28.9,280.8,Other
145,86.3,142.8,138.4,128.6,57.6,541.2,Other
146,65.7,77.4,60.7,104.2,44.0,337.7,Other
147,66.9,117.4,81.3,107.6,51.9,411.3,Other
148,77.0,111.6,110.4,114.3,57.9,463.2,Other
149,76.7,128.2,129.8,114.1,57.5,505.3,Other
150,80.9,129.6,133.3,126.9,58.7,518.6,Other
151,75.8,124.1,120.4,120.1,57.4,481.9,Other
152,69.0,79.0,73.5,119.6,54.8,385.9,Other
153,82.4,137.4,122.5,129.6,58.7,525.6,Other
154,79.6,122.0,87.7,131.3,52.1,463.4,Other
155,73.7,98.8,64.8,117.5,45.3,392.2,Other
156,70.4,103.9,86.1,118.9,42.0,410.7,Other
157,78.9,126.4,127.4,114.0,53.6,487.7,Other
158,85.0,135.4,128.8,124.4,58.0,521.9,Other
159,75.1,117.5,105.8,122.2,51.3,463.0,Other
160,82.6,121.8,140.8,122.7,60.6,520.7,Other
161,84.0,116.7,118.8,130.3,61.5,495.7,Other
162,70.0,105.8,120.0,120.8,52.7,456.3,Other
163,79.6,125.1,127.3,123.5,56.9,505.9,Other
164,78.9,109.2,126.5,123.3,60.4,488.8,Other
165,67.1,94.6,96.8,102.8,41.9,399.4,Other
166,67.6,113.8,96.1,107.3,41.9,418.5,Other
167,77.0,96.9,111.4,115.5,46.0,440.6,Other
168,67.9,107.2,116.1,103.9,40.3,434.7,Other
169,67.4,81.2,15.0,89.5,50.5,293.3,Other
170,81.0,89.6,121.9,111.7,55.7,451.2,Other
171,85.8,131.1,132.3,125.8,54.4,521.1,Other
172,84.3,135.4,145.1,116.9,54.7,519.4,Other
173,86.1,139.0,133.6,129.3,63.4,544.4,Other
174,72.9,133.3,115.1,132.4,45.4,494.6,Other
175,85.0,139.6,132.4,129.4,58.3,543.6,Other
176,80.2,137.3,138.6,118.4,50.3,518.7,Other
177,79.7,134.8,135.2,123.4,59.3,525.7,Other
178,77.7,135.3,131.1,125.4,55.1,514.2,Other
179,82.8,139.1,131.8,131.9,61.0,530.3,Other
180,76.0,137.8,130.1,130.0,49.9,514.5,Other
181,78.6,113.6,112.0,125.2,57.5,476.3,Other
182,78.4,101.7,135.2,117.3,55.4,479.8,Other
183,77.0,128.9,129.8,130.5,57.6,519.5,Other
184,78.2,131.1,127.0,121.9,54.3,509.4,Other
185,76.1,138.2,121.1,113.7,46.9,489.6,Other
186,84.4,126.9,118.8,137.0,57.6,523.7,Other
187,68.5,117.3,127.1,117.8,41.4,468.4,Other
188,80.7,115.1,123.8,130.7,54.8,501.9,Other
189,76.8,124.0,119.0,113.8,48.9,479.7,Other
190,74.8,120.3,129.6,128.0,58.6,502.2,Other
191,82.1,113.3,129.9,127.4,58.7,500.1,Other
192,74.1,117.0,138.9,117.1,51.7,483.7,Other
193,79.5,132.70000000000002,123.2,125.3,52.6,504.5,Other
194,70.2,123.7,113.9,122.3,57.1,480.0,Other
195,79.2,124.2,130.7,118.6,53.8,493.6,Other
196,82.9,108.1,136.1,126.3,57.7,498.2,Other
197,73.3,127.4,118.8,128.5,50.4,495.3,Other
198,71.5,117.8,131.5,124.1,53.2,491.9,Other
199,71.8,125.4,108.9,119.4,49.1,464.5,Other
200,70.9,112.9,104.6,129.2,48.5,464.6,Other
201,84.5,126.2,131.4,118.1,54.6,502.4,Other
202,76.3,115.2,124.2,112.5,52.6,481.0,Other
203,76.7,121.1,127.2,126.6,53.8,496.7,Other
204,69.9,95.2,127.0,122.7,43.4,449.6,Other
205,79.8,118.6,110.7,122.8,50.7,465.2,Other
206,76.5,100.4,123.2,119.8,48.3,454.8,Other
207,70.9,99.0,106.7,124.8,44.2,434.9,Other
208,75.7,103.9,105.1,115.7,46.6,436.2,Other
209,67.1,110.0,88.5,110.3,37.7,410.1,Other
210,69.0,76.39999999999999,115.2,112.0,49.1,416.90000000000003,Other
211,64.7,98.9,111.5,107.7,42.1,420.5,Other
212,76.1,95.6,126.7,115.8,48.0,458.2,Other
213,59.9,98.5,111.0,117.0,31.5,410.4,Other
214,69.3,109.3,94.9,125.3,47.6,433.5,Other
215,74.4,110.0,106.9,112.6,40.2,446.2,Other
216,66.9,95.1,90.0,113.8,44.7,402.5,Other
217,83.1,94.7,125.1,119.7,40.9,445.8,Other
218,71.4,86.1,93.1,113.5,50.3,404.2,Other
219,65.4,114.7,117.0,113.6,43.5,447.9,Other
220,71.4,85.4,115.8,110.2,54.1,436.1,Other
221,72.3,106.5,115.5,113.8,46.9,449.4,Other
222,75.7,91.9,104.7,118.8,35.6,417.6,Other
223,71.2,91.2,138.9,122.8,46.0,468.3,Other
224,74.6,92.5,110.8,116.3,53.2,433.5,Other
225,74.5,83.9,122.0,120.6,41.5,433.8,Other
226,78.3,95.1,89.6,117.6,38.1,412.0,Other
227,64.5,84.4,102.6,126.4,36.8,407.6,Other
228,75.9,100.3,103.9,114.2,45.7,426.1,Other
229,69.5,77.9,122.6,118.3,41.1,423.4,Other
230,70.7,121.5,110.9,113.3,47.8,449.7,Other
231,74.1,69.4,116.6,103.9,45.7,404.7,Other
232,59.1,78.4,70.3,109.8,38.3,354.0,Other
233,58.0,101.2,77.4,105.6,22.2,358.5,Other
234,66.1,94.6,104.5,113.0,37.3,416.2,Other
235,67.3,65.8,95.1,112.1,34.2,366.9,Other
236,67.9,72.2,95.6,114.2,32.3,375.6,Other
237,72.0,37.5,108.5,118.4,31.9,363.9,Other
238,67.9,47.1,113.3,109.5,44.9,375.9,Other
239,70.9,44.5,103.6,101.7,43.5,353.0,Other
240,64.0,96.2,109.2,103.1,35.7,407.0,Other
241,63.2,37.199999999999996,76.1,107.5,44.3,320.8,Other
242,73.1,89.3,110.2,116.6,32.8,412.7,Other
243,74.8,33.5,115.6,105.4,20.9,335.5,Other
244,74.9,72.6,79.0,106.6,54.8,378.4,Other
245,67.9,90.3,112.5,112.4,34.8,412.6,Other
246,58.2,51.2,80.7,102.1,33.8,311.6,Other
247,55.3,55.2,80.7,103.3,29.6,309.6,Other
248,59.4,57.8,96.9,104.5,33.3,350.9,Other
249,69.6,57.7,117.0,95.6,43.1,372.4,Other
250,63.3,41.7,101.4,108.6,35.4,343.6,Other
251,65.8,75.0,62.2,101.1,29.2,330.4,Other
252,54.5,63.9,71.1,88.9,22.1,296.7,Other
253,49.0,43.4,52.8,101.0,16.5,251.8,Other
254,37.5,35.0,63.0,89.9,12.9,238.1,Other
255,77.9,116.7,132.1,122.6,55.5,502.9,Other
256,86.5,130.8,133.4,130.3,60.9,530.8,Other
257,75.9,113.9,125.9,128.8,47.2,478.6,Other
258,69.3,96.6,99.4,113.3,49.0,423.0,Other
259,72.4,118.7,105.4,112.1,56.1,452.8,Other
